20th Century fox	الثعلب القرن العشرين
21st CENTURY	القرن ال 21
2K	2 ك
4gamers	4 لاعبين
5 Core	5 كور
505 Games	505 جيمز
70mai	70 ماي
8Bitdo	8 بيتدو
A&R Sports	ايه اند ار سبورتس
ABOF	ABOF
AC	تيار متردد
ACHAS	ACHAS
ACT-Labs	معامل ACT
ACTIONWARE	برنامج العمل
ADAM ELEMENTS	عناصر آدم
ADATA	ADATA
AEC	AEC
AIBIMY	AIBIMY
AILife	AILife
AIWANTO	AIWANTO
AKAI	AKAI
AKG	AKG
ALDO	ALDO
AMERTEER	امير
AMTCO	أمتكو
ANIQ	ANIQ
ANSELF	انسيلف
APEX	ذروة
AQUA LUNG	أكوا لونج
AQUA LUNG SPORT	أكوا لونج سبورت
ARES	آريس
ARLO	ARLO
ARMAND BASI	أرماند باسي
AROMA 24/7	AROMA 24/7
ARTC	ARTC
ARTLOOK	ARTLOOK
ASA	ك
ASTON	أستون
ASTRO	أسترو
ASUS	ASUS
ATOKIT	أتوكيت
ATOUCH	لمسة
AUXDIO	صوت
AVM	AVM
Acer	ايسر
Activision	أكتيفيجن
AiQURA	AiQURA
Ajazz	اجاز
Akai Professional	اكاي بروفيشنال
Al Fajr	الفجر
Alcatel	الكاتيل
Alctron	ألكترون
Alesis	اليسيس
Alice	أليس
Alienware	Alienware
AllCall	كل دعوة
Alliance Digital Media	تحالف الوسائط الرقمية
Alwan	الوان
Amal	أمل
Amazfit	أمازفيت
Anastasia Beverly Hills	أناستازيا بيفرلي هيلز
Anchor	مرساة
Andoer	أندوير
Andoer-2	Andoer-2
Angel city	مدينة الملاك
Angelcare	انجيل كير
Anker	أنكر
Annapurna Sales	مبيعات أنابورنا
Antari	عنتاري
AnyCast	اني كاست
Apogee	أوج
Apolena	أبولينا
Apple	تفاحة
Aqua	أكوا
Ariete	اريتي
Aroma	رائحة
Arozzi	اروزي
Arturia	أرتوريا
Asquare	مربع
Astrum	أستروم
At Games	في الألعاب
Athlete Home	منزل رياضي
Athletiq	أثليتيك
Atlus	أتلس
Audionic	أوديونك
Aukey	اوكي
Aural Dream	الحلم السمعي
Avalanche Studios	استوديوهات أفالانش
Awei	عوي
Axess	فأس
BABAZAM	بابازام
BAND-IT	الفرقة- IT
BG	BG
BIGBEN	ساعة بج بن
BITA	بيتا
BLACK+DECKER	بلاك + ديكر
BOBO VR	بوبو في آر
BOODUN	بودون
BOOMPODS	بومبودس
BOSS AUDIO SYSTEMS	أنظمة صوت بوس
BOUCHERON	بوشرون
BOURJOIS PARIS	برجوا باريس
BOUTIQNA	بوتقنة
BOYA	بويا
BRAVE SOUL	روح شجاع
BRS	BRS
BS	بكالوريوس
BTS	BTS
BUBM	BUBM
BURBERRY	بربري
BVLGARI	بولغري
BaByliss	بابيليس
Babybol	بيبي بول
Babysafe	بيبي سيف
BadLand Games	ألعاب BadLand
Bakhoor	بخور
Bandai Namco	بانداي نامكو
Bandridge	باندريدج
Bang & Olufsen	بانج & أمبير؛ أولفسن
Baofeng	باوفينج
Baroque	الباروك
Baseus	بيسوس
Bat	مضرب
Bavin	بافين
Baykron	بايرون
Beats	يدق
Beauenty	بيوينتي
Beauty	جمال
Bebi	بيبي
Behringer	بهرنجر
Belcat	بلكات
Belkin	بيلكين
BenQ	بينكيو
Bend Studio	استوديو بيند
Benks	مقاعد
Bepanthen	بيبانثين
Bergner	بيرجنر
Besiter	بيستر
Bestway	افضل طريقه
Bethesda	بيثيسدا
Big Ben	ساعة بج بن
Bigben Interactive	Bigben Interactive
Bison	الثور
Bissell	بيسيل
Bitty Boomers	بيتي بومرز
Biyang	بيانج
Blizzard Ent	عاصفة ثلجية قوية
Blooming Bath	بلومينج باث
Bloss	بلوس
BlueHole	ثقب الأزرق
Bluelans	بلولانز
Blusea	بلوز
Bobo	بوبو
Body Sculpture	نحت الجسم
Boom Box	صندوق بوم
Boomah Accessories	اكسسوارات بومة
Bose	بوس
Brand Charger	شاحن العلامة التجارية
Braun	براون
Brave	شجاع
Breeze	نسيم
Breville	بريفيل
Brilliant Skin Essentials	أساسيات البشرة الرائعة
Broadlink	برودلينك
Brookstone	بروكستون
Brother	شقيق
Bsnl	BSNL
Buck Commander	قائد باك
Budweiser	نوع من البيرة الأمريكية
Buffalo	الجاموس
Burt's Bees	النحل بيرت
C idea	فكرة ج
CALL IT SPRING	اتصل به الربيع
CALLTOUCH	اتصال
CAMSIR	الكامسير
CAROLINA HERRERA	كارولينا هيريرا
CARTIER	كارتييه
CASEMATIX	CASEMATIX
CD Baby	سي دي بيبي
CD Projekt	CD Projekt
CD Projekt Red	قرص مضغوط Projekt الأحمر
CHARGE	الشحنة
CHILDHOME	بيت الطفل
CHLOE	كلو
CHOPARD	شوبارد
CI Games	ألعاب CI
CIMC Ltd	CIMC المحدودة
CKY	CKY
COACH	مدرب رياضي
COLE HAAN	كول هان
CONVERSE	محادثة
COOLER MASTER	رئيس أكثر روعة
CRDC	CRDC
CREED	خلقت
CUVAVE	كوفيف
CYTHERIA	سيثيريا
CaTRIce	كاتريس
Cable Guys	شباب الكابلات
Cager	كاجر
Caline	كالين
Calvin Klein	كالفن كلاين
Calvin Klein Jeans	كالفن كلاين جينز
Camouflaj	التمويه
Canon	كانون
Capcom	كابكوم
Casio	كاسيو
Catcher	الماسك
Celebrat	احتفال
Cellairis	سليريس
Cellularline	سيلولارلاين
Cerave	سيراف
Championship Productions, Inc.	Championship Productions، Inc.
Charge 3	المسؤول 3
Cherub	الكروب
Chicco	شيكو
Childs Farm	مزرعة تشايلدز
China	الصين
China Made	صنع الصين
Chuku.me	Chuku.me
Cido	سيدو
City Interactive	مدينة التفاعلية
Clayton	كلايتون
Clearblue	كليربلو
Cleto	كليتو
Click N Pick	انقر فوق اختيار N
Clikon	كليكون
Clinique	كلينيك
Coco Desert	صحراء كوكو
Codemasters	كود ماسترز
Colorskin	كولورسكين
Comica	كوميكا
Cool Baby	طفل لطيف
CoolMUSIC	موسيقى رائعة
Coopic	كوبيك
Corsair	قرصان
Coteetci	كوتيتشي
Cougar	أسد امريكي
Coverking	كوفركينج
CozyTrix	كوزي تريكس
Creative	مبدع
Crep protect	حماية كريب
Crest	قمة
CronusMax	كرونوس ماكس
Crony	كروني
Crystal Digital	كريستال ديجيتال
Ctroniq	سيترونيك
Cuisinart	كويزينارت
CulCharge	كول تشارج
Cyber	الإلكترونية
Cyboris	سايبوريس
Cygnett	سيجنيت
D'Addario	داداريو
D'VOGUE	تصوّر
D-Link	دي لينك
DAR AL SALAM	دار السلام
DAR UL QALAM	دار القلم
DATA FROG	ضفدع البيانات
DAVIDOFF	دافيدوف
DAWSON SPORTS	رياضات داوسون
DBLEW	DBLEW
DELL	ديل
DISNEY	ديزني
DMK Power	DMK باور
DREAM GEAR	دريم جير
DSPPA	DSPPA
DTech	دي تك
DUBAI POLICE	شرطة دبي
DUMBO	دومبو
DUNLOP	دنلوب
DUO ER	DUO ER
DURACELL	دوراسيل
DaDa Home	DaDa الرئيسية
Dacom	داكوم
Dar Al Dawa	دار الدواء
Darkblue	أزرق غامق
Darul Qalam	دار القلم
Dashbon	داشبون
De'Longhi	ديلونجي
DeLonghi	ديلونجي
Deals for Less	صفقات بسعر أقل
Decdeal	ديديل
Deep Silver	الفضة العميقة
Deerma	ديرما
Dessini	ديسيني
Devialet	ديفيالت
Digitek	ديجيتك
Dior	ديور
Dirkje	ديركجي
Divoom	ديفووم
Dobe	دوبي
Docooler	دوكولر
Dolce & Gabbana	دولتشي غابانا
Doo Deen	دو دين
Doss	دوس
Dotz	دوتز
Double	مزدوج
Douself	دوسيلف
Dove	حمامة
DreamGear	دريم جير
Dune London	ديون لندن
Dunhill	دانهيل
Durex	ديوركس
Dynacord	دايناكورد
Dyson	دايسون
E-world	العالم الإلكتروني
EA	EA
EA7 Emporio Armani	EA7 إمبوريو أرماني
EDIFIER	محرر
EHOME	EHOME
ELEKTA	إليكتا
EMPORIO ARMANI	إمبوريو أرماني
ENACFIRE	التمكين
ENERGEA	الطاقة
ENHANCE	تحسين
ESET	إسيت
ESYWEN	إيسوين
ETUDE HOUSE	إتود هاوس
EUME	الاتحاد الأوروبي لي
EWA	EWA
Earldom	إيرلدوم
East Lady	سيدة الشرق
EastPoint Sports	ايست بوينت سبورتس
Eazy Kids	إيزي كيدز
Egyptian Magic	السحر المصري
Elgato	Elgato
Elizabeth Arden	إليزابيث أردن
Emarth	إمارث
Emfil	امفيل
Emporia	إمبوريا
Endura	إندورا
Energizer	إنرجايزر
Energy Sistem	نظام الطاقة
Enet	Enet
Eno	إينو
Epad	إيباد
Epic Games	ألعاب ملحمية
Epiphone	Epiphone
Equantu	إيكوانتو
Erborian	أربوريان
Ernie Ball	إرني بول
Esonmus	Esonmus
Essential	أساسى
Eva	إيفا
Event	حدث
Everrich	إيفريتش
Everyy	كل
Evolution Studios	استوديوهات التطور
Exceed	يزيد عن
Exquisite	رائع
FED	تغذيها
FESTNIGHT	ليلة العيد
FIFINE	فيفين
FLEOR	فليور
FLIGHT	طيران
FORMULER	فورمولر
FR-TEC	FR-TEC
FRIEET	مقلاة
Fabienne	فابيين
Fabindia	فابينديا
Fackelmann	فاكيلمان
Fakir	فقير
Falcon Eyes	عيون الصقر
Fallen Fruits	الفاكهة المتساقطة
Fam	مألوف
Farlin	فارلين
Fat Cat	قط سمين
Feelings	مشاعر
Fender	درابزين
Ferrari	فيراري
Fibrum	ليف
Fine Baby	طفل سليم
Fissman	فيسمان
Fitness	اللياقة البدنية
Flanger	فلانجر
Flash Hawk	فلاش هوك
Flatsons	فلاتسونز
Flexy	مرن
FlyDigi	فلاي ديجي
Focus Home Int.	التركيز على الصفحة الرئيسية
Focus Home Interactive	التركيز على الصفحة الرئيسية التفاعلية
Focus Multimedia	التركيز على الوسائط المتعددة
Forever	إلى الأبد
Forever52	إلى الأبد 52
Fosmon	فوسمون
FouceClaus	فوس كلاوس
Foxcon	فوكسكون
Franklin Sports	فرانكلين سبورتس
Franz Sandner	فرانز ساندنر
FridaBaby	فريدا بيبي
Frigidaire	فريجيدير
FromSoftware	FromSoftware
Frontier	حدود
Fujifilm	فوجي فيلم
Fun	مرح
Fun Box Media	فن بوكس ميديا
Fzone	Fzone
G-Tab	جي تاب
GAGGIA	GAGGIA
GARNIER	غارنييه
GASTROBACK	جستروباك
GECKO	وزغة
GEN GAME	لعبة GEN
GENELEC	GENELEC
GHOSPELL	جوسبل
GIORGIO ARMANI	جورجيو أرماني
GOOTOY	GOOTOY
GPD	GPD
GPO Retro	ريترو GPO
GRACO	جراكو
GT Omega	أوميغا GT
GTIPPOR	GTIPPOR
GUB	GUB
GUCCI	غوتشي
GUESS	خمن
Game Arts	فنون اللعبة
Game Trust	لعبة الثقة
GameSir	غامسير
Gamertek	جامرتيك
Geekay games	ألعاب جيكاي
Geepas	جيباس
Generic	نوعي
Givenchy	جيفنشي
Glasslock	جلاسلوك
Glorious	المجيد
GoPro	GoPro
Godox	جودوكس
Goldedge	غولديدج
Google	جوجل
Goui	قوي
Greadio	جراديو
Green Wealth	الثروة الخضراء
Gretsch	جريتش
Guerrilla	حرب العصابات
Gulikit	جوليكيت
Gun Media	غون ميديا
HAVIT	هافيت
HEIST Sports	HEIST الرياضة
HIKVISION	هيكفيجن
HITACHI	هيتاشي
HITSAN INCORPORATION	شركة هيتان
HOMEBOX	هوم بوكس
HOPESTAR	هوبستر
HTC	HTC
HUAWEI	هواوي
HUGO BOSS	هوغو بوس
HXSJ	HXSJ
HYPERICE	فرط
HYX	HYX
Hala	هاله
Handaiyan	هانديان
Harman Kardon	هارمان كاردون
Harmony	انسجام
Harrows	أمشاط
Hasbro	هاسبرو
Haylou	هايلو
Hello Games	مرحبا العاب
Hema	هيما
Heng Fang	هنغ فانغ
Hercules	هرقل
Herschel	هيرشل
Hilitand	هيليتاند
Himalaya	هيمالايا
Himalaya Herbals	هيمالايا هيربلز
Hisense	هيسنس
Hitatech	هيتاتك
Hitopin	هيتوبين
Hoco	هوكو
Hohner	هوهنر
Home Brew Ohio	الصفحة الرئيسية المشروب أوهايو
Honor	شرف
Hoover	هوفر
Hori	هوري
Hotpack	حزمة الساخنة
House Of Marley	بيت مارلي
Housemarque	هووزمارك
HuHa	هوا
Huangguan	هوانغوان
Hunterspider	الصياد
HyperGear	هايبر جير
Hyperx	هايبر إكس
I Sports	أنا الرياضة
I.R.I.S.	قزحية.
ICONFLANG	ICONFLANG
IKU	IKU
IMAGE ENT.	IMAGE ENT.
IQ	معدل الذكاء
IQ TOUCH	IQ Touch
IRIN	إيرين
Ibanez	ايبانيز
Iconix	ايكونيكس
Idigix	إيديجيكس
Idmix	Idmix
Impex	إمبكس
Inder	اندر
InnJoo	إنجو
Insomniac	بالأرق
Insomniac Games	ألعاب Insomniac
Inspire	يلهم
Intag	انتاج
Intex	انتكس
Introversion Software	برامج الانطواء
Ion Audio	صوت ايون
Ipega	ابيجا
J&J	J&J
J-Tech Digital	J-Tech Digital
JACK & JONES	جاك جونز
JAGUAR	جاكوار
JANSPORT	جانسبورت
JAYJUN	جايجون
JBL	JBL
JETTOM	جيتوم
JLW	JLW
JOBE	الوظيفة
JORDAN	الأردن
JOVAN	جوفان
JOWAY	جوواي
JOYO	جويو
Jabra	جبرا
Jacqueline de Yong	جاكلين دي يونج
Jam Audio	مربى الصوت
Japan Studio	استوديو اليابان
Jetech	جيتك
Jinou	جينو
Jinyu	جينيو
Joerex	جوريكس
Johnson's	جونسون
Joycare	جوي كير
Joyroom	جوي روم
Joyway	جويواي
Juice up	اعصر
Juicy Couture	جوسي كوتور
Jumpsy	القفزات
Jusinhel	جوسينهيل
K&F Concept	مفهوم K&F
KAI	KAI
KENDALL + KYLIE	كيندال + كايلي
KIKKERLAND	KIKKERLAND
KIMI	كيمي
KINGLAKE	كينجليك
KINGSTON	كينجستون
KISS	قبلة
KIT	عدة
KKmoon	KKmoon
KOKKO	كوكو
KONIX	كونيكس
KOTION EACH	كوتيون كل
KOTON	كوتون
KRYPTON	كريبتون
KT	KT
Kaku	كاكو
Kalypso	كاليبسو
Karson	كارسون
Kaspersky	كاسبيرسكي
Kazoo	كازو
Kef	الكاف
Kenneth Cole	كينيث كول
Kenwood	كينوود
Khanka	الخانكة
Kicker	كيكر
Kingstore	Kingstore
Kisonli	كيسونلي
Kit Sound	كيت الصوت
Klei	كلاي
Klein Tools	أدوات كلاين
Knight	فارس
Koch Media	كوتش ميديا
Koei Tecmo	كوي تيكمو
Konami	كونامي
Konig & Meyer	كونيج وماير
KontrolFreek	كونترول
Koolertron	كوليترون
Korg	كورج
Kungber	كونغبر
Kutahya	كوتاهيا
Kutis	كوتيس
Kyser	كيسر
L'CHEAR	لشير
L'Oreal Paris	L 'أوريل باريس
L'Oréal Professionnel	لوريال بروفسيونال
LA ROCHE-POSAY	لاروش بوزيه
LABRADA	لابرادا
LACOSTE	لاكوست
LADE	سيدة
LAND ROVER	لاند روفر
LAS	جامعة الدول العربية
LAUT	LAUT
LAV	لاف
LC WAIKIKI	LC WAIKIKI
LDNIO	LDNIO
LEAD	قيادة
LEGO	العاب تركيب
LENOSED	لينوسيد
LENRUE	لينرو
LESHP	ليشب
LG	ال جي
LINKCOMN	LINKCOMN
LIXADA	ليكسادا
LNKOO	LNKOO
LOGIIX	LOGIIX
LP	LP
LTD	المحدودة
LUCKIES OF LONDON	حظوظ لندن
LW	LW
La Bella	لا بيلا
Lannge	لانج
Lanzar	لانزار
Laperva	لابيرفا
Lattafa	لطافة
Lava	حمم بركانية
Leijiaer	ليجير
Lememogo	ليموغو
Lenovo	لينوفو
Leto	ليتو
Li Ying	لي ينغ
Lifeline	شريان الحياة
Linksys	لينكسيس
Little Orbit	المدار الصغير
Lofree	لوفري
Logitech	لوجيتك
Lollipop	مصاصة
LuguLake	لوغو ليك
Luminarc	لومينارك
Lyle & Scott	لايل وسكوت
M-Audio	M- الصوت
M.A.C	ماك
M.Asam	م
MAANGE	MAANGE
MALUNI	مالوني
MANGO	مانجو
MARGOUN	مارجون
MARVEL	أعجوبة
MASTERPLUG	ماستربلوج
MATRIX	مصفوفة
MAYBELLINE NEW YORK	مايبيلين نيويورك
MBI	MBI
MDK	MDK
MEE Audio	صوت MEE
MEGGO	MEGGO
MI	MI
MICROIDS	ميكرويدز
MIJIA	MIJIA
MIKE	مايك
MINIONS	مينيونز
MIRUN	ميرون
MM	مم
MOCUTE	صوت
MODUS	MODUS
MOGOO	موجو
MOJANG	موجانج
MONOLITH	مونوليث
MONTALE	مونتال
MONTBLANC	الجبل الاسود
MSI	MSI
MSQ	MSQ
MXQ Pro	MXQ Pro
MYCANDY	حلواي
MYMI	MYMI
Mackie	ماكي
Maestro	فنان قائد فرقة موسيقية
MageGee	ماججي
Magic	سحر
Magic Bullet	رصاصة سحرية
Magic Star	ماجيك ستار
MagicStar	ماجيك ستار
Mahalo	ماهالو
MaikcQ	MaikcQ
Makala	ماكالا
MakeUp for You	مكياج لك
Mancera	مانسيرا
